e %t_{MS-01}% %t_{PB-01}% %t_{MS-02}% %t_{PB-02}% 
50 0.00003528 0.00006380
100 0.00000528 0.00020046
150 0.00000218 0.00024019
200 0.00000312 0.00035094
250 0.00000480 0.00037236
300 0.00005612 0.00039542
350 0.00012710 0.00039741
400 0.00022390 0.00044235
450 0.00025720 0.00054099
500 0.00134329 0.00054740
550 0.00581393 0.00055529
600 - 0.00070542
